Name,Label,Owner,Ownership,Proof,Shanai,Kodomo,Type,Add1,Add2,Y,X,url,TEL,FAX,Full,AgeS,AgeE,Open,Close,H24,Memo,Extra,Temp,Holiday,Night,Vacancy,VacancyDate,Remarks,Parking,Bus,Uniform,Smock,Lunch,Cost,Competition,Openingdate,Playground,Playroom,Pool,Sakidori_auth,Hoikuroom_auth
キッズルームわかば,キッズルームわかば,,私立,Y,N,N,認可保育所,千葉市稲毛区穴川3-6-17,,35.6376147,140.1082025,,207-5520,,18,0,2,7:00,20:00,N,,Y,N,N,N,N,20161028,,,,,,,,,,,,,,
園生幼稚園附属園生保育園（地域枠）,園生幼稚園附属園生保育園（地域枠）,,私立,Y,Y,N,認可保育所,千葉市稲毛区園生町956-5,,35.6411668,140.104314,,290-4321,,6,0,2,7:30,18:30,N,,N,N,N,N,N,20161028,,20,,N,N,,,4.17,,,,,,
千城台東認定こども園,千城台東認定こども園,千葉市,公立,Y,N,Y,認可保育所,千葉市若葉区千城台東4-33-1,,35.6186255,140.2000369,,236-0431,,110,0,5,7:00,19:00,N,,Y,N,N,N,Y,20161028,,0,,N,N,N,,0.95,19760327,,,Y,,
大宮台保育所,大宮台保育所,千葉市,公立,Y,N,N,認可保育所,千葉市若葉区大宮台7-8-2,,35.5962272,140.1811954,,263-4284,,90,0,5,7:00,19:00,N,,Y,N,N,N,Y,20161028,,0,,N,N,N,,0.88,19710522,,,Y,,
小倉台保育所,小倉台保育所,千葉市,公立,Y,N,N,認可保育所,千葉市若葉区小倉台4-18-2,,35.6286304,140.1711593,,231-2183,,55,0,5,7:00,19:00,N,,Y,N,N,N,N,20161028,,0,,N,N,N,,1.58,19690519,,,Y,,
坂月保育所,坂月保育所,千葉市,公立,Y,N,N,認可保育所,千葉市若葉区坂月町294-1,,35.6126258,140.180878,,236-5591,,70,0,5,7:00,19:00,N,,Y,N,N,N,Y,20161028,,10,,N,N,N,,1.17,,,,Y,,
桜木保育所,桜木保育所,千葉市,公立,Y,N,N,認可保育所,千葉市若葉区桜木1-40-1,,35.6176731,140.1564753,,232-1633,,140,0,5,7:00,19:00,N,,Y,N,N,N,Y,20161028,,28,,N,N,N,,1.04,19740330,,,Y,,
更科保育所,更科保育所,千葉市,公立,Y,N,N,認可保育所,千葉市若葉区更科町2073-27,,35.6203731,140.2277671,,239-0571,,40,0,5,7:00,18:00,N,,Y,N,N,N,Y,20161028,,0,,N,N,N,,0.73,19950323,,,Y,,
多部田保育所,多部田保育所,千葉市,公立,Y,N,N,認可保育所,千葉市若葉区多部田町754-39,,35.5977548,140.1950719,,228-4660,,70,0,5,7:00,19:00,N,,Y,N,N,N,Y,20161028,,0,,N,N,N,,0.63,19800331,,,Y,,
千城台西保育所,千城台西保育所,千葉市,公立,Y,N,N,認可保育所,千葉市若葉区千城台西3-8-1,,35.6185671,140.18145,,237-1688,,110,0,5,7:00,19:00,N,,Y,N,N,N,Y,20161028,,24,,N,N,N,,1.07,19710331,,,Y,,
千城台東第一保育所,千城台東第一保育所,千葉市,公立,Y,N,N,認可保育所,千葉市若葉区千城台東2-8-1,,35.6192503,140.193457,,237-1402,,180,0,5,7:00,20:00,N,,Y,N,N,N,Y,20161028,,6,,N,N,N,,0.93,19720401,,,Y,,
都賀の台保育所,都賀の台保育所,千葉市,公立,Y,N,N,認可保育所,千葉市若葉区都賀の台3-6-1,,35.6437248,140.1440667,,256-1956,,115,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,2,,N,N,N,,1.12,19780331,,,Y,,
野呂保育所,野呂保育所,千葉市,公立,Y,N,N,認可保育所,千葉市若葉区野呂町622,,35.5838121,140.2295395,,228-0203,,50,0,5,7:00,18:00,N,,N,N,N,N,Y,20161028,,6,,N,N,N,,0.68,19720831,,,Y,,
旭ヶ丘保育園,旭ヶ丘保育園,,私立,Y,N,N,認可保育所,千葉市若葉区都賀１－1－1,,35.6316488,140.1436338,,231-5047,,120,0,5,7:00,20:00,N,,Y,Y,N,N,N,20161028,,3～4,,N,N,N,,1.13,,,,,,
キッズマーム保育園,キッズマーム保育園,,私立,Y,N,N,認可保育所,千葉市若葉区西都賀3-17-12,,35.6374986,140.1498,,206-0177,,58,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,1,,N,N,Y,,1.12,,,,,,
すずらん保育園,すずらん保育園,,私立,Y,N,N,認可保育所,千葉市若葉区若松町2106-3,,35.6361576,140.1703675,,231-0380,,90,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,30,,N,Y,N,体操服あり,1.23,,,,,,
たいよう保育園,たいよう保育園,,私立,Y,N,N,認可保育所,千葉市若葉区みつわ台3-12-1,,35.6395414,140.135631,,255-3626,,110,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,4,,N,Y,Y,体操服あり,1.09,,,,,,
千葉聖心保育園,千葉聖心保育園,,私立,Y,N,N,認可保育所,千葉市若葉区若松町531-197,,35.6464245,140.1465638,,304-3606,,75,0,5,7:00,20:00,N,,Y,N,N,N,Y,20161028,,100,,N,N,Y,体操服あり,1.08,,,,,,
都賀保育園,都賀保育園,,私立,Y,N,N,認可保育所,千葉市若葉区都賀5-1-11,,35.6367019,140.1540082,,231-1600,,90,0,5,7:00,20:00,N,,Y,Y,N,N,N,20161028,,9,,N,N,Y,,1.29,,,,,,
まほろばのお日さま保育園,まほろばのお日さま保育園,,私立,Y,N,N,認可保育所,千葉市若葉区みつわ台5-21-14,,35.649104,140.1382058,,307-5518,,29,0,5,7:00,20:00,N,,Y,N,N,N,Y,20161028,,3,,N,N,Y,,0.79,,,,,,
マミー＆ミー西都賀,マミー＆ミー西都賀,,私立,Y,N,N,認可保育所,千葉市若葉区西都賀3-20-3 1Ｆ,,35.6376903,140.1505778,,290-5860,,28,0,5,7:00,20:00,N,,Y,N,N,N,Y,20161028,,1,,N,N,Y,,0.75,,,,,,
みつわ台保育園,みつわ台保育園,,私立,Y,N,N,認可保育所,千葉市若葉区みつわ台5-8-8,,35.6472401,140.1341921,,255-7041,,120,0,5,7:00,20:00,N,,Y,N,N,N,Y,20161028,,4,,N,N,N,体操服あり,1.14,,,,,,
ミルキーホーム都賀園,ミルキーホーム都賀園,,私立,Y,N,N,認可保育所,千葉市若葉区都賀3-8-14,,35.6368905,140.1516083,,235-1077,,50,0,5,7:00,21:00,N,,Y,Y,Y,N,N,20161028,,4,,N,Y,Y,,0.92,,,,,,
若竹保育園,若竹保育園,,私立,Y,N,N,認可保育所,千葉市若葉区若松町336,,35.6343188,140.1686205,,231-2114,,150,0,5,7:00,20:00,N,,Y,Y,N,N,N,20161028,,33,,N,N,Y,体操服あり,1.2,,,,,,
若葉保育園,若葉保育園,,私立,Y,N,N,認可保育所,千葉市若葉区原町925-21,,35.6359592,140.1413725,,207-5667,,59,0,5,7:00,20:00,N,,Y,N,N,N,Y,20161028,,6,,N,N,N,,0.75,,,,,,
キートスチャイルドケアみつわ台,キートスチャイルドケアみつわ台,,私立,Y,N,N,認可保育所,千葉市若葉区みつわ台2-36-8,,35.6384415,140.1340283,,301-3244,,19,0,2,7:00,20:00,N,,Y,Y,N,N,N,20161028,,2,,N,N,,,1,,,,,,
べびぃまーむ,べびぃまーむ,,私立,Y,N,N,認可保育所,千葉市若葉区西都賀3-3-12,,35.6366985,140.1477973,,441-6593,,12,0,2,7:00,19:00,N,,Y,N,N,N,N,20161028,,0,,N,N,,,1,,,,,,
おうちほいく　もみじのて,おうちほいく　もみじのて,,私立,Y,N,N,認可保育所,千葉市若葉区若松町2216,,35.6372574,140.1739892,,231-6498,,3,0,2,7:00,20:00,N,,Y,N,N,N,N,20161028,,5,,N,N,,,0.67,,,,,,
エデュケア・チルドレン・ハウス　にじ,エデュケア・チルドレン・ハウス　にじ,,私立,Y,N,N,認可保育所,千葉市若葉区西都賀1丁目,,35.6362428,140.145003,,251-5978,,4,0,2,8:30,17:30,N,,N,N,N,N,N,20161028,,1,,N,N,,,1,,,,,,
おうちほいく　ふたば,おうちほいく　ふたば,,私立,Y,N,N,認可保育所,千葉市若葉区みつわ台5丁目,,35.6466513,140.1351142,,206-2468,,3,0,2,8:00,18:00,N,,N,N,N,N,N,20161028,,1,,N,N,,,1.33,,,,,,
白梅幼稚園,白梅幼稚園,,私立,Y,N,Y,認可保育所,千葉市緑区誉田町2-24,,35.5468545,140.2124477,,291-0135,,30,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,10,,Y,Y,Y,体操服あり、特定負担あり,1.23,,,,,,
認定こども園かしの木,認定こども園かしの木,,私立,Y,N,Y,認可保育所,千葉市緑区おゆみ野2-1-15,,35.5649224,140.1728191,,300-3535,,45,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,4,,Y,N,Y,体操服あり、特定負担あり,0.91,,,,,,
平山保育所,平山保育所,千葉市,公立,Y,N,N,認可保育所,千葉市緑区平山町138,,35.5736048,140.182255,,291-1376,,115,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,3,,N,N,N,,1.19,19770331,,,Y,,
誉田保育所,誉田保育所,千葉市,公立,Y,N,N,認可保育所,千葉市緑区誉田町2-298,,35.5463936,140.2055039,,291-0575,,150,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,5,,N,N,N,,1.13,20000920,,,Y,,
あい・あい保育園 土気園,あい・あい保育園 土気園,,私立,Y,N,N,認可保育所,千葉市緑区土気町1583-25,,35.5341022,140.2722937,,309-4141,,58,0,5,7:00,20:00,N,,Y,N,N,N,Y,20161028,,6,,N,N,Y,,0.76,,,,,,
あおぞら保育園,あおぞら保育園,,私立,Y,N,N,認可保育所,千葉市緑区鎌取町273-146,,35.5701219,140.1737439,,312-0427,,31,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,8,,N,Y,Y,,1,,,,,,
おゆみ野保育園,おゆみ野保育園,,私立,Y,N,N,認可保育所,千葉市緑区おゆみ野2-7,,35.5622949,140.1748275,,291-8877,,90,0,5,7:00,20:00,N,,Y,Y,N,N,N,20161028,,4,,N,N,N,,1.33,,,,,,
おゆみ野すきっぷ保育園,おゆみ野すきっぷ保育園,,私立,Y,N,N,認可保育所,千葉市緑区おゆみ野南3-25-1 1F,,35.5495628,140.1659477,,293-3761,,36,0,5,7:00,20:00,N,,Y,N,N,N,Y,20161028,,1,,N,N,Y,,1.17,,,,,,
かまとり保育園,かまとり保育園,,私立,Y,N,N,認可保育所,千葉市緑区おゆみ野4-30,,35.5577038,140.1795749,,300-0357,,90,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,,,,,,,1.1,,,,,,
かるがも保育園おゆみ野園,かるがも保育園おゆみ野園,,私立,Y,N,N,認可保育所,千葉市緑区おゆみ野4-23-2,,35.5576732,140.1770694,,300-1152,,29,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,4,,Y,N,Y,,0.86,,,,,,
グレース保育園,グレース保育園,,私立,Y,N,N,認可保育所,千葉市緑区おゆみ野中央2-7-7,,35.5561788,140.1646445,,300-1221,,120,0,5,7:00,20:00,N,,Y,N,Y,N,N,20161028,,25,,N,N,Y,体操服あり,1.24,,,,,,
げんき保育園,げんき保育園,,私立,Y,N,N,認可保育所,千葉市緑区おゆみ野3-26-1,,35.5612784,140.1744803,,293-1844,,48,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,5,,N,N,Y,,1.02,,,,,,
ココファン・ナーサリーおゆみ野,ココファン・ナーサリーおゆみ野,,私立,Y,N,N,認可保育所,千葉市緑区おゆみ野4-3-5,,35.5593457,140.1820855,,292-8720,,90,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,4,,N,N,Y,,1.09,,,,,,
さくらんぼ保育園,さくらんぼ保育園,,私立,Y,N,N,認可保育所,千葉市緑区高田町1083-13,,35.5500344,140.2218302,,300-3715,,30,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,10,,N,N,Y,,1.1,,,,,,
真生保育園,真生保育園,,私立,Y,N,N,認可保育所,千葉市緑区おゆみ野南5-29-1,,35.5472688,140.1744725,,292-9333,,90,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,8,,N,N,Y,,1.19,,,,,,
テンダーラビング保育園誉田,テンダーラビング保育園誉田,,私立,Y,N,N,認可保育所,千葉市緑区誉田町2-24-7,,35.5474377,140.2131754,,312-1515,,59,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,10,,N,N,Y,,0.95,,,,,,
ナーセリー鏡戸,ナーセリー鏡戸,,私立,Y,N,N,認可保育所,千葉市緑区あすみが丘4-21-1,,35.524192,140.264345,,295-3686,,120,0,5,7:00,20:00,N,,Y,Y,N,N,N,20161028,,26,,N,N,Y,体操服あり,1.14,,,,,,
ニチイキッズあすみが丘保育園,ニチイキッズあすみが丘保育園,,私立,Y,N,N,認可保育所,千葉市緑区あすみが丘5-6-3,,35.5313576,140.2626338,,205-5367,,59,0,5,7:00,20:00,N,,Y,N,N,N,Y,20161028,,3,,N,N,Y,,0.88,,,,,,
ふたば保育園,ふたば保育園,,私立,Y,N,N,認可保育所,千葉市緑区刈田子町308-10,,35.5468908,140.1659256,,300-2211,,130,0,5,7:00,20:00,N,,Y,Y,N,N,N,20161028,,30,,N,Y,N,体操服あり,1.1,,,,,,
誉田おもいやり保育園,誉田おもいやり保育園,,私立,Y,N,N,認可保育所,千葉市緑区誉田町2-23-290,,35.5486072,140.208112,,312-1651,,59,0,5,7:00,20:00,N,,Y,Y,N,N,Y,20161028,,20,,N,N,Y,体操服あり,0.73,,,,,,
マミー＆ミーおゆみ野,マミー＆ミーおゆみ野,,私立,Y,N,N,認可保育所,千葉市緑区おゆみ野中央6-50-10,,35.552124,140.1846722,,300-4471,,20,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,4,,N,N,Y,,0.9,,,,,,
明徳土気保育園,明徳土気保育園,,私立,Y,N,N,認可保育所,千葉市緑区土気町1626-5,,35.5327134,140.2697246,,294-0110,,120,0,5,7:00,20:00,N,,Y,Y,N,N,N,20161028,,31,,N,N,Y,,1.18,,,,,,
明和輝保育園,明和輝保育園,,私立,Y,N,N,認可保育所,千葉市緑区おゆみ野中央7-30,,35.5467634,140.1795252,,293-3900,,90,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,12,,N,N,Y,,1.16,,,,,,
美光保育園,美光保育園,,私立,Y,N,N,認可保育所,千葉市緑区大膳野町1-6,,35.5476662,140.187161,,300-0123,,90,0,5,7:00,20:00,N,,Y,Y,N,N,N,20161028,,20,,N,N,Y,,1.2,,,,,,
わかくさ保育園,わかくさ保育園,,私立,Y,N,N,認可保育所,千葉市緑区大椎町1199-2,,35.5293631,140.2565679,,294-5476,,110,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,7,,N,Y,Y,体操服あり,1.04,,,,,,
ミルキーウェイ,ミルキーウェイ,,私立,Y,N,N,認可保育所,千葉市緑区あすみが丘1-27-2,,35.5289638,140.2683749,,205-8878,,19,0,2,7:00,20:00,N,,Y,N,N,N,N,20161028,,2,,N,N,,,0.79,,,,,,
森のおうちコッコロ,森のおうちコッコロ,,私立,Y,N,N,認可保育所,千葉市緑区あすみが丘8-1-1,,35.5214564,140.2704778,,205-5056,,19,0,2,7:00,20:00,N,,Y,N,N,N,N,20161028,,4,,N,N,,,1,,,,,,
まきの木えん,まきの木えん,,私立,Y,N,N,認可保育所,千葉市緑区誉田町2-2307-142,,35.546138,140.2094896,,292-9929,,5,0,2,8:00,18:00,N,,N,N,N,N,N,20161028,,2,,N,N,,,1,,,,,,
ひまわり保育室（地域枠）,ひまわり保育室（地域枠）,,私立,Y,Y,N,認可保育所,千葉市緑区あすみが丘7-2-3,,35.5206869,140.2650173,,294-9457,,5,0,2,7:00,19:00,N,,Y,N,N,N,N,20161028,,26,,N,N,,,1.2,,,,,,
みどりの森めばえ（地域枠）,みどりの森めばえ（地域枠）,,私立,Y,Y,N,認可保育所,千葉市緑区大木戸町1200-68,,35.5089682,140.2322986,,205-5151,,7,0,2,7:00,19:00,N,,Y,N,N,N,N,20161028,,82,,N,Y,,,1.29,,,,,,
幸認定こども園,幸認定こども園,千葉市,公立,Y,N,Y,認可保育所,千葉市美浜区幸町1-17-6,,35.6154205,140.099549,,247-7346,,108,0,5,7:00,19:00,N,,Y,N,N,N,Y,20161028,,3,,N,N,,,0.95,19770331,,,Y,,
幼保連携型認定こども園打瀬保育園,認定こども園打瀬保育園,,私立,Y,N,Y,認可保育所,千葉市美浜区打瀬1-3-5,,35.6430571,140.0481026,,273-6631,,127,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,4,,N,N,Y,体操服あり,1.05,,,,,,
千葉女子専門学校附属聖こども園,千葉女子専門学校附属聖こども園,,私立,Y,N,Y,認可保育所,千葉市美浜区高洲2-3-24,,35.6225738,140.0768201,,245-0626,,97,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,8,,Y,Y,Y,体操服あり,0.97,,,,,,
幕張海浜保育園,幕張海浜保育園,,私立,Y,N,Y,認可保育所,千葉市美浜区幕張西2-7-2,,35.6655541,140.0377974,,273-2266,,149,0,5,7:00,20:00,N,,Y,Y,N,N,N,20161028,,5,,Y,Y,Y,体操服あり,1.13,,,,,,
磯辺保育所,磯辺保育所,千葉市,公立,Y,N,N,認可保育所,千葉市美浜区磯辺1-3-1,,35.6298505,140.0663653,,277-3661,,105,0,5,7:00,19:00,N,,Y,N,N,N,Y,20161028,,0,,N,N,N,,1.33,19810304,,,Y,,
稲毛海岸保育所,稲毛海岸保育所,千葉市,公立,Y,N,N,認可保育所,千葉市美浜区稲毛海岸5-6-1,,35.6373052,140.0759699,,241-5620,,190,0,5,7:00,19:00,N,,Y,N,N,N,N,20161028,,5,,N,N,N,,1.39,19860226,,,Y,,
幸第一保育所,幸第一保育所,千葉市,公立,Y,N,N,認可保育所,千葉市美浜区幸町2-12-9,,35.6214607,140.0933104,,241-0825,,161,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,0,,N,N,N,,0.83,19691001,,,Y,,
高洲第一保育所,高洲第一保育所,千葉市,公立,Y,N,N,認可保育所,千葉市美浜区高洲2-2-21,,35.6245791,140.0788449,,242-8944,,94,0,5,7:00,19:00,N,,Y,N,N,N,Y,20161028,,0,,N,N,N,,0.86,19720831,,,Y,,
高洲第二保育所,高洲第二保育所,千葉市,公立,Y,N,N,認可保育所,千葉市美浜区高洲2-3-19,,35.6220961,140.0773923,,245-0631,,61,0,5,7:00,19:00,N,,Y,N,N,N,Y,20161028,,0,,N,N,N,,0.78,19720831,,,Y,,
高洲第三保育所,高洲第三保育所,千葉市,公立,Y,N,N,認可保育所,千葉市美浜区高洲3-2-14,,35.6271621,140.0756451,,278-3390,,155,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,4,,N,N,N,,1.05,19940101,,,Y,,
高浜第一保育所,高浜第一保育所,千葉市,公立,Y,N,N,認可保育所,千葉市美浜区高浜1-4-3,,35.6195491,140.0749508,,246-1955,,49,0,5,7:00,19:00,N,,Y,N,N,N,Y,20161028,,0,,N,N,N,,0.61,19760326,,,Y,,
真砂第一保育所,真砂第一保育所,千葉市,公立,Y,N,N,認可保育所,千葉市美浜区真砂2-22-13,,35.6408742,140.0684065,,277-5918,,128,0,5,7:00,19:00,N,,Y,Y,N,N,N,20161028,,4,,N,N,N,,1.38,19740902,,,Y,,
真砂第二保育所,真砂第二保育所,千葉市,公立,Y,N,N,認可保育所,千葉市美浜区真砂5-19-1,,35.6455459,140.0643568,,277-5919,,131,0,5,7:00,19:00,N,,Y,N,N,N,N,20161028,,5,,N,N,N,,1.18,19740902,,,Y,,
真砂第三保育所,真砂第三保育所,千葉市,公立,Y,N,N,認可保育所,千葉市美浜区真砂5-44-1,,35.6436767,140.0598989,,278-3993,,149,0,5,7:00,19:00,N,,Y,N,N,N,N,20161028,,0,,N,N,N,,1.22,19750610,,,Y,,
アスク海浜幕張保育園,アスク海浜幕張保育園,,私立,Y,N,N,認可保育所,千葉市美浜区中瀬1-3 1F,,35.6516948,140.0415056,,296-3200,,51,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,0,,N,Y,Y,体操服あり,0.88,,,,,,
アップルナースリー検見川浜保育園,アップルナースリー検見川浜保育園,,私立,Y,N,N,認可保育所,千葉市美浜区真砂4-1-10 5F,,35.6387217,140.0614378,,270-2501,,32,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,0,,N,N,Y,体操服あり,1,,,,,,
第２幕張海浜保育園,第２幕張海浜保育園,,私立,Y,N,N,認可保育所,千葉市美浜区ひび野2-110,,35.648448,140.0420001,,216-2255,,36,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,0,,N,Y,N,,1.17,,,,,,
たかし保育園稲毛海岸,たかし保育園稲毛海岸,,私立,Y,N,N,認可保育所,千葉市美浜区稲毛海岸3-1-30 2F,,35.635336,140.0803112,,243-8222,,39,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,3,,N,N,N,体操服あり,1.4,,,,,,
茶々まくはり保育園,茶々まくはり保育園,,私立,Y,N,N,認可保育所,千葉市美浜区打瀬2―18-2,,35.6381882,140.0456223,,276-5753,,129,0,5,7:00,20:00,N,,Y,Y,N,N,N,20161028,,9,,N,N,Y,,1.24,,,,,,
チューリップ保育園,チューリップ保育園,,私立,Y,N,N,認可保育所,千葉市美浜区真砂3-15-14,,35.6384468,140.0645625,,279-4863,,153,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,5,,N,N,N,体操服あり,1.19,,,,,,
なぎさ保育園,なぎさ保育園,,私立,Y,N,N,認可保育所,千葉市美浜区高浜4-4-1,,35.6224625,140.0700095,,277-3466,,93,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,0,,N,N,Y,体操服あり,1.02,,,,,,
なのはな保育園,なのはな保育園,,私立,Y,N,N,認可保育所,千葉市美浜区幸町1-21-8,,35.6157705,140.100149,,248-2478,,29,0,5,7:00,20:00,N,一時預かりは不定期利用のみ,Y,Y,N,N,N,20161028,,0,,N,N,Y,,1,,,,,,
まどか保育園,まどか保育園,,私立,Y,N,N,認可保育所,千葉市美浜区高洲1-15-2,,35.6299701,140.0777199,,277-2551,,100,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,0,,N,N,Y,体操服あり,1.13,,,,,,
みらい保育園,みらい保育園,,私立,Y,N,N,認可保育所,千葉市美浜区打瀬3-11-3,,35.6365633,140.0420837,,213-2727,,145,0,5,7:00,20:00,N,,Y,Y,Y,N,N,20161028,,10,,N,Y,Y,体操服あり,1.25,,,,,,
もみじ保育園,もみじ保育園,,私立,Y,N,N,認可保育所,千葉市美浜区磯辺5-14-5,,35.6339111,140.0596852,,277-5355,,132,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,5,,N,Y,Y,体操服あり,1.2,,,,,,
若梅保育園,若梅保育園,,私立,Y,N,N,認可保育所,千葉市美浜区高洲4-5-9,,35.6313115,140.0720453,,278-0260,,139,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,3,,N,N,N,体操服あり,1.11,,,,,,
千葉白菊幼稚園附属しらぎくナーサリー,千葉白菊幼稚園附属しらぎくナーサリー,,私立,Y,N,N,認可保育所,千葉市美浜区幸町2-12-8,,35.6207718,140.0912856,,241-6600,,20,0,2,7:00,19:00,N,,Y,N,N,N,N,20161028,,4,,N,N,,,1.11,,,,,,
おうちほいく　すみれ,おうちほいく　すみれ,,私立,Y,N,N,認可保育所,千葉市美浜区浜田,,,,,270-3150,,3,0,2,8:00,18:00,N,連絡先は、美浜区こども家庭課,N,N,N,N,N,20161028,,,,,,,,0.67,,,,,,
美浜ナーサリーささえ愛（地域枠）,美浜ナーサリーささえ愛（地域枠）,,私立,Y,Y,N,認可保育所,千葉市美浜区磯辺6-3-9,,35.6363803,140.0535635,,270-6100,,10,0,2,7:00,19:00,N,,Y,N,N,N,N,20161028,,3,,N,N,,,0.91,,,,,,
イオンゆめみらい保育園（地域枠）,イオンゆめみらい保育園（地域枠）,,私立,Y,Y,N,認可保育所,千葉市美浜区豊砂1-1 1F,,35.6543607,140.0292121,,306-6110,,3,0,2,7:00,22:00,N,,Y,N,Y,Y,N,20161028,,5,,N,N,,,0.6,,,,,,
そがチャイルドハウス,そがチャイルドハウス,,私立,Y,N,N,認可外,千葉市中央区南町3-12-1,,35.5769874,140.133505,,488-5445,,22,,,7:00,19:00,N,,Y,Y,N,N,,,Y,,,,,,,,,,,,,
キッズルームKORU,キッズルームKORU,,私立,Y,N,N,認可外,千葉市稲毛区小仲台2-8-25 第8横土ビル1F,,35.6375579,140.0951501,,251-0220,,34,,,7:00,19:00,N,,Y,Y,N,N,,,Y,,,,,,,,,,,,,
たくみん保育園,たくみん保育園,,私立,Y,N,N,認可外,千葉市若葉区小倉台4-19-2,,35.6278832,140.1715232,,214-2711,,24,,,7:00,19:00,N,,Y,Y,N,N,,,Y,,,,,,,,,,,,,
やまどり保育園,やまどり保育園,,私立,Y,N,N,認可外,千葉市若葉区都賀2-12-11 技工ビル1F,,35.6337771,140.1489401,,214-5730,,59,,,7:00,21:00,N,,Y,Y,N,N,,,Y,,,,,,,,,,,,,
かるがも保育園鎌取駅前園,かるがも保育園,,私立,Y,N,N,認可外,千葉市緑区おゆみ野3-10-7,,35.5596619,140.178261,,292-8349,,59,,,7:00,20:00,N,,Y,Y,N,N,,,Y,,,,,,,,,,,,,
子どものまきば保育園,子どものまきば保育園,,私立,Y,N,N,認可外,千葉市緑区土気町630-8,,35.5311974,140.2801874,,295-3349,,31,,,7:00,19:00,N,,Y,Y,N,N,,,Y,,,,,,,,,,,,,
キッズガーデン海浜幕張園,キッズガーデン海浜幕張園,,私立,Y,N,N,認可外,千葉市美浜区ひび野2-1-1 QVCスクエア2F,,35.6468804,140.0394622,,306-6288,,59,,,7:00,19:00,N,,Y,Y,N,N,,,Y,,,,,,,,,,,,,
かるがも保育園蘇我園,かるがも保育園蘇我園,,私立,Y,N,N,認可外,千葉市中央区南町2-6-10 初芝ビル101,,35.5827015,140.1328262,,261-8349,,45,,,7:00,20:00,N,,Y,Y,Y,N,,,,Y,,,,,,,,,,,,
キッズ・ガーデン    ,キッズ・ガーデン    ,,私立,Y,N,N,認可外,千葉市中央区中央3-13-1 富士屋ビル2F,,35.6083746,140.1232242,,202-3888,,30,,,7:00,19:30,N,,Y,Y,N,N,,,,Y,,,,,,,,,,,,
中央保育所,中央保育所,,私立,Y,N,N,認可外,千葉市中央区祐光2-11-12 SKマンション213号,,35.6176155,140.126418,,227-5155,,130,,,7:00,21:00,N,,Y,Y,Y,N,,,,Y,,,,,,,,,,,,
はっぴぃルーム本千葉駅前園,はっぴぃルーム本千葉駅前園,,私立,Y,N,N,認可外,千葉市中央区長洲1-24-12 今井ビル1F,,35.6021051,140.1215094,,202-2562,,28,,,7:30,21:00,N,,Y,Y,N,N,,,,Y,,,,,,,,,,,,
ベビールームこどものへや,ベビールームこどものへや,,私立,Y,N,N,認可外,千葉市中央区長洲1-33-13 共栄ビル,,35.6022049,140.1192707,,227-0007,,23,,,8:00,20:00,N,,Y,Y,N,N,,,,Y,,,,,,,,,,,,
リトルガーデン千葉ポートタウン,リトルガーデン千葉ポートタウン,,私立,Y,N,N,認可外,千葉市中央区問屋町1-50 千葉ポートタウン1F,,35.6028405,140.1101896,,244-8839,,100,,,7:00,19:00,N,,Y,Y,N,N,,,,Y,,,,,,,,,,,,
エバーキッズ幕張保育園,エバーキッズ幕張保育園,,私立,Y,N,N,認可外,千葉市花見川区幕張本郷2-4-8,,35.6708064,140.0438995,,276-8451,,24,,,7:30,19:00,N,,Y,Y,N,N,,,,Y,,,,,,,,,,,,
